id_unidad_instituto,id_implementacion,id_categoria,id_sexo,cantidad_alumnos_inscritos,cantidad_alumnos_certificados,grupo_tipo_unidad,grupo_delegacion,tipo_curso,cantidad_no_accesos
7601,519,148,2,3,0,MF,MN,Sin tipo asignado,2
7609,519,148,2,2,0,MF,MN,Sin tipo asignado,1
7949,519,148,2,1,0,MF,MN,Sin tipo asignado,1
7951,519,148,2,2,1,MF,MN,Sin tipo asignado,1
8108,519,148,1,3,0,HMF,MS,Sin tipo asignado,1
8108,519,148,2,2,0,HMF,MS,Sin tipo asignado,0
8028,519,148,1,2,2,HMF,MS,Sin tipo asignado,0
8029,519,148,1,1,0,HMF,MS,Sin tipo asignado,0
8029,519,148,2,1,0,HMF,MS,Sin tipo asignado,1
7702,519,148,2,1,0,MF,MS,Sin tipo asignado,1
8030,519,148,1,1,0,HMF,NT,Sin tipo asignado,0
8080,519,148,2,1,0,HMF,NT,Sin tipo asignado,0
8169,519,148,1,2,0,HP,NL,Sin tipo asignado,1
8170,519,148,1,2,0,HP,NL,Sin tipo asignado,2
8031,519,148,1,1,0,HMF,NL,Sin tipo asignado,0
8090,519,148,1,1,0,HMF,NL,Sin tipo asignado,1
7788,519,148,2,1,0,MF,NL,Sin tipo asignado,1
8117,519,148,2,1,0,HUMAA,OC,Sin tipo asignado,0
8117,519,148,3,1,0,HUMAA,OC,Sin tipo asignado,0
8174,519,148,1,3,1,HP,OC,Sin tipo asignado,1
8174,519,148,2,1,1,HP,OC,Sin tipo asignado,0
8095,519,148,1,1,0,HMF,OC,Sin tipo asignado,1
7890,519,148,2,1,1,MF,PL,Sin tipo asignado,0
7231,519,148,1,1,1,MF,PL,Sin tipo asignado,0
7231,519,148,2,1,0,MF,PL,Sin tipo asignado,1
7235,519,148,1,1,0,MF,PL,Sin tipo asignado,0
7247,519,148,1,1,0,MF,PL,Sin tipo asignado,1
7247,519,148,2,1,0,MF,PL,Sin tipo asignado,0
7251,519,148,2,1,1,MF,PL,Sin tipo asignado,0
7263,519,148,1,1,0,MF,PL,Sin tipo asignado,1
10294,519,148,1,1,0,,PL,Sin tipo asignado,1
10294,519,148,2,1,0,,PL,Sin tipo asignado,0
7977,519,148,1,2,2,MF,PL,Sin tipo asignado,0
7899,519,148,2,1,1,MF,PL,Sin tipo asignado,0
8233,519,148,3,1,1,UMAA,QT,Sin tipo asignado,0
7647,519,148,3,3,3,MF,QT,Sin tipo asignado,0
7648,519,148,3,1,1,MF,QT,Sin tipo asignado,0
7652,519,148,3,2,2,MF,QT,Sin tipo asignado,0
7655,519,148,3,2,2,MF,QT,Sin tipo asignado,0
8185,519,148,1,1,0,HP,SL,Sin tipo asignado,1
8185,519,148,2,1,0,HP,SL,Sin tipo asignado,1
8119,519,148,1,3,1,HP,SL,Sin tipo asignado,1
